 Distribution 
 dist=[1/sigma d\sigma/dDelta|Y|]*dDelta|Y|
         (expanded)
***************************************
 \mu=mt

 Delta|Y|_min   Delta|Y|_max    dist
 -100            -44/60     0.18871712772442417     
 -44/60          -20/60     0.14709057058115643     
 -20/60            0.0      0.15899429753999833     
    0.0           20/60     0.15951174226745085     
  20/60           44/60     0.14883643972921715     
  44/60            100      0.19684982215775287     

 Charge asymmetry Ac
 Ac=   1.0396008308841909E-002
 *******************************************
 \mu=mt/2

 Delta|Y|_min   Delta|Y|_max    dist
 -100            -44/60     0.18935408239040646     
 -44/60          -20/60     0.14685719271287567     
 -20/60            0.0      0.15835185612740288     
    0.0           20/60     0.15905755689770876     
  20/60           44/60     0.14858681999560602     
  44/60            100      0.19779249187599998     

 Charge asymmetry Ac
 Ac=   1.0873737538629691E-002
 ********************************************
 
 \mu=2mt

  Delta|Y|_min   Delta|Y|_max    dist
 -100            -44/60     0.18784136048425382     
 -44/60          -20/60     0.14767003756255168     
 -20/60            0.0      0.15938488772543555     
    0.0           20/60     0.16035367136617842     
  20/60           44/60     0.14908645101020990     
  44/60            100      0.19566359185137053     

 Charge asymmetry Ac
 Ac=   1.0207428455517725E-002
